regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,total.destroyed,total.production,trade.value,proddestavg
G-R00031,6.51078E+12,2769388823,6.98414E+12,2858159890,2717469506,0,4.73361E+11,33471478354,3812150946,16135405486,0.113892518
Great Wildlands,5.73373E+13,51098949822,5.57592E+13,50891379436,19249430878,1.57814E+12,0,2.77253E+11,37519277000,23486017396,0.13532529
Cloud Ring,1.74247E+13,16973607639,2.02956E+13,17760409300,76799012739,0,2.87091E+12,2.53008E+11,1.91448E+11,38058767108,0.756687468
Etherium Reach,1.05743E+14,63456551135,1.11389E+14,63493287876,1.39223E+11,0,5.64601E+12,2.64311E+11,5.5577E+11,55767530601,2.102710393
Scalding Pass,2.74172E+13,33642781934,2.58272E+13,32260666281,78975237092,1.59001E+12,0,3.87048E+11,3.72963E+11,60932125799,0.963608878
Cache,1.92002E+13,11032438913,1.93116E+13,10565115521,1.66241E+11,0,1.11347E+11,1.67666E+11,2.86315E+11,69785860181,1.707648347
Impass,1.6007E+13,11479494300,1.61086E+13,11598173039,1.6261E+11,0,1.01589E+11,1.05065E+11,1.80807E+11,75576733106,1.720901907
The Spire,2.81977E+13,16222544502,3.02722E+13,15453767694,2.57251E+11,0,2.07457E+12,1.27905E+11,1.08426E+12,96432581159,8.477128464
Wicked Creek,1.94052E+13,20156898853,2.3082E+13,23199669505,43963159534,0,3.67684E+12,1.70022E+11,1.73354E+11,1.01616E+11,1.019594289
Paragon Soul,1.20654E+13,10891867638,1.26777E+13,9499125603,2.31906E+11,0,6.12315E+11,99449830462,9.41151E+11,1.04212E+11,9.463575364
Querious,4.5563E+13,50003939216,4.06929E+13,48953601284,81628503027,4.87018E+12,0,3.38541E+11,1.0333E+11,1.10497E+11,0.305222271
Period Basis,1.40833E+13,9584950070,5.38827E+12,5352072103,41408708995,8.69499E+12,0,1.95022E+11,2.78022E+11,1.17427E+11,1.425588917
Feythabolis,1.09949E+13,7262400084,1.15045E+13,7868411560,1.65424E+11,0,5.09633E+11,2.271E+11,4.11156E+11,1.2494E+11,1.81046456
The Kalevala Expanse,5.00242E+13,30850749581,5.54637E+13,31436475144,6.21267E+11,0,5.43953E+12,2.36789E+11,6.82929E+11,1.27738E+11,2.884120624
Detorid,1.75324E+13,15467425964,2.12999E+13,15893485619,3.16763E+11,0,3.76749E+12,1.43467E+11,3.68093E+11,1.45097E+11,2.565703434
Stain,2.13629E+13,16767454639,1.74814E+13,15879824306,12008370037,3.88146E+12,0,2.8415E+11,3.08099E+11,1.48829E+11,1.084282923
Tribute,2.11378E+14,2.54451E+11,2.07898E+14,2.78026E+11,85368754556,3.48039E+12,0,1.56874E+12,1.56709E+12,1.65348E+11,0.99894612
Oasa,3.17192E+13,23436654128,4.23086E+13,23186073545,3.15781E+11,0,1.05895E+13,2.48913E+11,8.5647E+11,1.73346E+11,3.440840602
Insmother,3.98958E+13,36952089867,4.20777E+13,33087947418,5.02192E+11,0,2.18187E+12,1.60997E+11,1.21033E+12,1.81128E+11,7.517724846
Venal,1.38553E+14,1.62402E+11,1.2247E+14,1.23579E+11,5667635195,1.60837E+13,0,2.8068E+11,62547321391,2.0442E+11,0.222842052
Perrigen Falls,3.47758E+13,29011062706,6.75907E+13,33055577181,4.15301E+11,0,3.28149E+13,2.8274E+11,1.08757E+12,2.05126E+11,3.846522288
The Bleak Lands,4.35961E+13,43697671983,3.3991E+13,45282234537,93430576600,9.60512E+12,0,5.59266E+11,1.71188E+11,2.41997E+11,0.306094041
Outer Passage,1.39456E+13,8272428523,1.4363E+13,8585430688,4.93921E+11,0,4.17461E+11,1.94959E+11,1.01979E+12,2.5318E+11,5.230825037
Tenerifis,3.39059E+13,23726932261,3.85033E+13,22946338842,4.48709E+11,0,4.59741E+12,2.67401E+11,1.20415E+12,2.98225E+11,4.503152319
Omist,1.07932E+13,5635663126,8.65346E+12,4778266487,5.82733E+11,2.13979E+12,0,2.15456E+11,9.11126E+11,3.0966E+11,4.228827369
Fountain,2.05115E+13,26894968148,2.94311E+13,31086624255,91412350762,0,8.91966E+12,6.45144E+11,7.64476E+11,3.10113E+11,1.184969312
Cobalt Edge,2.00212E+13,13453732592,3.36285E+13,14196245655,1.28827E+12,0,1.36073E+13,3.05603E+11,3.45439E+12,3.26488E+11,11.30354279
Syndicate,3.73546E+13,57488660608,3.6678E+13,58371177215,32977166587,6.76664E+11,0,5.62109E+11,4.67695E+11,3.36973E+11,0.832035768
Solitude,3.72165E+13,32127144343,3.15378E+13,31377401749,1.20675E+11,5.67864E+12,0,81549141488,2.09565E+11,3.70671E+11,2.569794312
Tenal,5.91216E+13,29732000601,2.68161E+13,24712051840,1.7459E+11,3.23055E+13,0,4.51935E+11,6.11623E+11,3.79624E+11,1.353342883
Malpais,4.89522E+13,37134911314,7.26152E+13,37067622855,1.08511E+12,0,2.36629E+13,2.25901E+11,2.50461E+12,3.86909E+11,11.08721545
Curse,7.16555E+13,65334879232,7.43831E+13,76212852904,3992312517,0,2.72757E+12,5.0523E+11,1.97608E+11,4.23734E+11,0.391125351
Pure Blind,9.24513E+13,1.00439E+11,8.97217E+13,97447511293,80928331245,2.72957E+12,0,1.52222E+12,1.03994E+12,4.98231E+11,0.683171798
Esoteria,2.48086E+13,22967831532,2.81062E+13,21905656386,4.7318E+11,0,3.2976E+12,3.62685E+11,1.60654E+12,5.09857E+11,4.429581516
Branch,1.67189E+13,15317140329,2.25588E+13,14993590443,2.78959E+11,0,5.83992E+12,2.80686E+11,1.14919E+12,5.6614E+11,4.094211467
Molden Heath,5.41E+13,61653470539,5.17371E+13,62696576378,1.49238E+11,2.36285E+12,0,2.71691E+11,3.59567E+11,5.96662E+11,1.323440412
Immensea,3.9994E+13,32404635711,5.33489E+13,33982349079,4.7982E+11,0,1.33549E+13,5.23133E+11,1.46865E+12,6.39944E+11,2.807410331
Geminate,7.34775E+13,63727333868,7.9657E+13,64818071847,2.98211E+11,0,6.17956E+12,4.36681E+11,2.91395E+12,6.63784E+11,6.672943973
Deklein,5.06769E+13,39710204836,4.27225E+13,33781980462,4.21419E+11,7.9544E+12,0,4.23396E+11,2.31928E+12,6.91729E+11,5.477804373
Black Rise,8.86599E+13,1.3024E+11,9.79617E+13,1.3997E+11,72601704405,0,9.30178E+12,1.45292E+12,1.23194E+12,7.8292E+11,0.847907189
Kador,1.38939E+14,1.70717E+11,1.26903E+14,1.7068E+11,3.86835E+11,1.20361E+13,0,1.87911E+11,1.26066E+12,8.00212E+11,6.708838092
Fade,2.43611E+13,26926961004,2.02191E+13,27213661385,50752406373,4.14191E+12,0,8.21838E+11,3.98595E+11,8.75064E+11,0.485003753
Khanid,1.87316E+14,1.75219E+11,1.80356E+14,1.74326E+11,2.82236E+11,6.95998E+12,0,2.78333E+11,5.88895E+11,8.91432E+11,2.115795472
Derelik,1.38672E+14,1.56263E+11,1.2898E+14,1.44827E+11,2.17382E+11,9.69162E+12,0,2.57943E+11,6.61498E+11,9.28395E+11,2.564512672
Aridia,9.08201E+13,70974871773,8.86157E+13,68343460433,80123006341,2.20441E+12,0,2.9875E+11,7.07708E+11,9.36595E+11,2.368900104
Delve,6.48445E+13,91724152506,1.41542E+14,1.04373E+11,2.11587E+12,0,7.66971E+13,8.0695E+11,1.06118E+13,1.05231E+12,13.15044999
Devoid,1.09482E+14,1.5234E+11,1.14304E+14,1.5349E+11,2.10704E+11,0,4.82249E+12,2.56296E+11,6.20929E+11,1.05926E+12,2.422702018
Catch,6.59494E+13,57507691094,6.4815E+13,59377995920,4.03882E+11,1.13442E+12,0,1.62582E+12,2.4711E+12,1.18967E+12,1.519911384
Kor-Azor,2.33549E+14,2.56208E+11,2.36674E+14,2.5524E+11,2.46099E+11,0,3.12558E+12,2.02656E+11,1.19886E+12,1.42128E+12,5.91574389
Vale of the Silent,8.97399E+13,81105314682,7.26769E+13,73954692238,3.5299E+11,1.7063E+13,0,8.91434E+11,1.82408E+12,1.54732E+12,2.046235753
Outer Ring,7.38467E+12,7908924687,5.65147E+12,7797279995,64712238185,1.73321E+12,0,86694433280,1.41919E+11,1.58613E+12,1.637003209
Genesis,1.91154E+14,2.30923E+11,1.85749E+14,2.32568E+11,4.00244E+11,5.40499E+12,0,3.85562E+11,8.01856E+11,1.64188E+12,2.079708283
Everyshore,6.7079E+13,1.31518E+11,5.97524E+13,1.2924E+11,6.95697E+11,7.32663E+12,0,1.25055E+11,1.03067E+12,1.65786E+12,8.241726254
Placid,9.47036E+13,1.47302E+11,9.04298E+13,1.44508E+11,69653326343,4.27381E+12,0,7.3081E+11,1.70785E+12,1.8008E+12,2.336928357
Verge Vendor,7.30261E+13,98436617573,7.30384E+13,96772229890,2.69879E+11,0,12252406676,2.94836E+11,6.91477E+11,2.00735E+12,2.34529066
Tash-Murkon,1.4428E+14,1.72403E+11,1.3026E+14,1.6937E+11,8.14019E+11,1.40202E+13,0,3.20835E+11,1.88403E+12,2.55755E+12,5.872274041
Providence,5.30777E+13,56013779647,6.39891E+13,56296282347,6.73539E+11,0,1.09114E+13,1.34116E+12,3.71381E+12,3.40438E+12,2.769108732
Essence,3.48137E+14,5.05398E+11,3.40308E+14,4.99156E+11,4.58343E+11,7.8292E+12,0,5.78581E+11,1.90395E+12,4.30133E+12,3.290721792
The Citadel,8.44326E+14,1.08657E+12,8.24249E+14,1.08524E+12,5.87183E+11,2.00774E+13,0,1.64684E+12,1.2087E+13,5.32197E+12,7.33953638
Metropolis,3.21292E+14,3.31103E+11,3.02298E+14,3.28094E+11,7.86694E+11,1.89939E+13,0,7.98865E+11,1.96143E+12,8.51003E+12,2.455272483
Heimatar,1.82517E+14,2.30398E+11,1.78401E+14,2.35963E+11,3.93017E+11,4.11619E+12,0,6.07631E+11,1.4422E+12,1.00773E+13,2.373472627
Lonetrek,5.28046E+14,6.95441E+11,5.42278E+14,7.2349E+11,1.29036E+12,0,1.42318E+13,1.28618E+12,1.34466E+13,1.06409E+13,10.45471269
Sinq Laison,4.01548E+14,5.13967E+11,3.95016E+14,5.13136E+11,7.59207E+11,6.53187E+12,0,9.51625E+11,4.12222E+12,2.14663E+13,4.331765859
Domain,6.03816E+14,7.81204E+11,5.94613E+14,7.74202E+11,1.09647E+12,9.20302E+12,0,1.07376E+12,6.70589E+12,6.56174E+13,6.24526563
The Forge,7.91721E+14,9.87689E+11,7.74423E+14,9.87263E+11,1.35645E+12,1.7298E+13,0,3.1703E+12,2.4818E+13,4.33802E+14,7.828265634
